page,time_spent_on_page,participant,gender,consent given,dateStr,
17.1.png,5.902783800000179,hmj,m,True,2023-03-22_16h18.49.210,
17.2.png,1.6598413000028813,hmj,m,True,2023-03-22_16h18.49.210,
17.3.png,1.9018886000012571,hmj,m,True,2023-03-22_16h18.49.210,
17.4.png,1.5367518999992171,hmj,m,True,2023-03-22_16h18.49.210,
17.5.png,3.171294100000523,hmj,m,True,2023-03-22_16h18.49.210,
17.6.png,1.3218572000005224,hmj,m,True,2023-03-22_16h18.49.210,
17.7.png,1.4021489000006113,hmj,m,True,2023-03-22_16h18.49.210,
17.8.png,1.3565387000016926,hmj,m,True,2023-03-22_16h18.49.210,
17.9.png,1.2181667000004381,hmj,m,True,2023-03-22_16h18.49.210,
17.10.png,1.2661439000003156,hmj,m,True,2023-03-22_16h18.49.210,
17.11.png,1.319972000001144,hmj,m,True,2023-03-22_16h18.49.210,
17.12.png,1.3644222000002628,hmj,m,True,2023-03-22_16h18.49.210,
17.13.png,1.4313813999979175,hmj,m,True,2023-03-22_16h18.49.210,
17.14.png,1.4994188999990001,hmj,m,True,2023-03-22_16h18.49.210,
17.15.png,1.32678930000111,hmj,m,True,2023-03-22_16h18.49.210,
17.16.png,1.136762699999963,hmj,m,True,2023-03-22_16h18.49.210,
